date,open,high,low,close,volume,mentions,sentiment,stock
2021-04-15,163.07,166.2546,152.8,156.32,7529149,24.0,26.423199999999998,GME
2021-04-16,156.45,160.1969,151.25,154.68,4817053,24.0,25.43849999999999,GME
2021-04-19,172.06,175.2,162.33,164.4,9584331,8.0,10.848500000000001,GME
2021-04-20,164.38,164.89,153.36,158.6,4414300,10.0,17.7857,GME
2021-04-21,158.93,162.98,155.92,158.4,3665146,15.0,17.876699999999992,GME
2021-04-22,159.47,159.1,146.86,151.13,4214978,8.0,14.7699,GME
2021-04-23,149.57,153.6598,144.7,151.2,3878079,4.0,21.015699999999995,GME
2021-04-26,151.0,174.6795,148.76,168.8,8684468,12.0,9.4122,GME
2021-04-27,184.13,188.0,173.17,178.0,8406485,30.0,39.885799999999996,GME
2021-04-28,172.43,181.98,166.0281,178.91,5616007,9.0,28.88889999999999,GME
2021-04-29,177.64,180.86,170.75,176.06,3630589,11.0,31.6727,GME
2021-04-30,174.86,183.8,172.7,173.6,4217728,3.0,18.3551,GME
2021-05-03,177.21,177.49,159.61,162.19,4931852,,,GME
2021-05-04,159.05,161.49,151.8,161.0,3862747,,,GME
2021-05-05,161.89,165.5,158.33,159.49,2668269,2.0,14.4912,GME
2021-05-06,160.7,164.72,155.6,161.0,2828762,27.0,41.07550000000001,GME
2021-05-07,160.29,167.41,157.5001,161.08,2821271,37.0,44.27009999999998,GME
2021-05-10,161.63,161.585,143.0,143.01,4653507,15.0,15.866200000000001,GME
2021-05-11,137.13,150.5,136.5,146.78,4326434,6.0,33.39940000000001,GME
2021-05-12,145.73,150.5,142.231,144.51,2605449,10.0,23.1342,GME
2021-05-13,147.81,169.95,146.43,164.999,8604101,4.0,22.697799999999997,GME
2021-05-14,161.08,166.47,156.22,159.9,4121086,32.0,30.70609999999999,GME
2021-05-17,159.92,182.5,159.0,180.505,7193150,1.0,6.263300000000001,GME
2021-05-18,174.7,189.2,168.27,180.574,7540252,23.0,27.561700000000002,GME
2021-05-19,172.73,178.9799,164.15,168.839,4603845,8.0,14.3679,GME
2021-05-20,170.7,174.91,166.9,170.45,2385704,4.0,20.714499999999994,GME
2021-05-21,171.1,179.24,170.33,176.76,3562473,1.0,23.862400000000004,GME
2021-05-24,176.51,188.4576,173.35,180.04,4575003,7.0,8.357699999999998,GME
2021-05-25,180.75,217.11,181.0,209.29,14204603,14.0,27.674900000000004,GME
2021-05-26,228.95,248.4794,225.55,242.42,19257147,29.0,17.139599999999994,GME
2021-05-27,230.33,264.0,227.0,254.33,14780491,21.0,42.07180000000002,GME
2021-05-28,262.57,268.7999,221.43,221.7884,11075804,17.0,49.49720000000002,GME
2021-06-01,233.36,254.98,227.07,249.0,8935251,2.0,12.1893,GME
